time_iso8601,forks_cumulative
2021-01-26 00:00:00+00:00,1
2021-06-07 00:00:00+00:00,2
2021-09-16 00:00:00+00:00,3
2021-11-02 00:00:00+00:00,4
2021-11-27 00:00:00+00:00,5
2021-12-16 00:00:00+00:00,6
2022-01-19 00:00:00+00:00,7
2022-03-03 00:00:00+00:00,8
2022-03-21 00:00:00+00:00,9
2022-03-31 00:00:00+00:00,10
2022-05-05 00:00:00+00:00,11
2022-09-19 00:00:00+00:00,12
2022-09-29 00:00:00+00:00,13
2022-10-05 00:00:00+00:00,14
2022-10-10 00:00:00+00:00,15
2022-10-11 00:00:00+00:00,16
2023-01-04 00:00:00+00:00,17
2023-02-01 00:00:00+00:00,18
2023-04-28 00:00:00+00:00,19
2023-05-18 00:00:00+00:00,20
2023-06-12 00:00:00+00:00,21
2023-08-30 00:00:00+00:00,22
2023-09-29 00:00:00+00:00,23
2023-11-11 00:00:00+00:00,24
2024-08-04 00:00:00+00:00,25
2024-08-06 00:00:00+00:00,26
2024-09-12 00:00:00+00:00,27
2024-11-26 00:00:00+00:00,28
2024-12-16 00:00:00+00:00,29
2025-01-20 00:00:00+00:00,30
2025-04-22 00:00:00+00:00,31
