time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,1810,451,8,4
2026-04-14 00:00:00+00:00,2251,454,10,4
2026-04-15 00:00:00+00:00,1844,463,13,5
2026-04-16 00:00:00+00:00,1922,460,19,10
2026-04-17 00:00:00+00:00,1834,469,31,25
2026-04-18 00:00:00+00:00,556,198,3,3
2026-04-19 00:00:00+00:00,598,204,14,7
2026-04-20 00:00:00+00:00,3181,498,13,7
2026-04-21 00:00:00+00:00,2892,543,22,10
2026-04-22 00:00:00+00:00,2802,515,6,4
2026-04-23 00:00:00+00:00,2644,529,24,6
2026-04-24 00:00:00+00:00,2302,483,19,8
2026-04-25 00:00:00+00:00,636,229,1,1
2026-04-26 00:00:00+00:00,626,209,11,4
