time_iso8601,stars_cumulative
2021-01-07 00:00:00+00:00,1
2021-01-16 00:00:00+00:00,2
2021-01-26 00:00:00+00:00,3
2021-01-27 00:00:00+00:00,4
2021-03-18 00:00:00+00:00,5
2021-03-20 00:00:00+00:00,6
2021-03-26 00:00:00+00:00,7
2021-04-16 00:00:00+00:00,9
2021-04-25 00:00:00+00:00,10
2021-05-28 00:00:00+00:00,11
2021-06-05 00:00:00+00:00,12
2021-06-07 00:00:00+00:00,13
2021-06-23 00:00:00+00:00,16
2021-07-21 00:00:00+00:00,17
2021-08-28 00:00:00+00:00,18
2021-09-30 00:00:00+00:00,19
2021-10-11 00:00:00+00:00,20
2021-11-10 00:00:00+00:00,21
2021-11-11 00:00:00+00:00,23
2021-12-01 00:00:00+00:00,24
2022-03-03 00:00:00+00:00,25
2022-03-17 00:00:00+00:00,26
2022-04-21 00:00:00+00:00,27
2022-05-21 00:00:00+00:00,28
2022-09-24 00:00:00+00:00,29
2022-11-04 00:00:00+00:00,30
2022-11-29 00:00:00+00:00,31
2023-01-04 00:00:00+00:00,32
2023-01-10 00:00:00+00:00,33
2023-01-23 00:00:00+00:00,34
2023-01-29 00:00:00+00:00,35
2023-03-20 00:00:00+00:00,36
2023-04-25 00:00:00+00:00,37
2023-05-07 00:00:00+00:00,38
2023-05-16 00:00:00+00:00,39
2023-08-22 00:00:00+00:00,40
2023-08-31 00:00:00+00:00,41
2023-10-12 00:00:00+00:00,42
2024-01-04 00:00:00+00:00,43
2024-02-23 00:00:00+00:00,44
2024-03-05 00:00:00+00:00,45
2024-03-14 00:00:00+00:00,46
2024-04-14 00:00:00+00:00,47
2024-04-16 00:00:00+00:00,48
2024-08-17 00:00:00+00:00,49
2024-09-01 00:00:00+00:00,50
2024-09-25 00:00:00+00:00,51
2024-10-16 00:00:00+00:00,52
2024-11-11 00:00:00+00:00,53
2024-11-18 00:00:00+00:00,54
2024-12-02 00:00:00+00:00,55
2025-01-05 00:00:00+00:00,56
