time_iso8601,forks_cumulative
2021-01-25 00:00:00+00:00,1
2021-02-04 00:00:00+00:00,2
2021-02-10 00:00:00+00:00,3
2021-02-28 00:00:00+00:00,4
2021-03-02 00:00:00+00:00,6
2021-03-03 00:00:00+00:00,7
2021-03-05 00:00:00+00:00,8
2021-03-08 00:00:00+00:00,9
2021-03-15 00:00:00+00:00,10
2021-03-20 00:00:00+00:00,11
2021-04-11 00:00:00+00:00,12
2021-04-14 00:00:00+00:00,13
2021-04-19 00:00:00+00:00,14
2021-04-24 00:00:00+00:00,15
2021-04-28 00:00:00+00:00,16
2021-05-09 00:00:00+00:00,17
2021-05-17 00:00:00+00:00,18
2021-05-18 00:00:00+00:00,19
2021-05-19 00:00:00+00:00,20
2021-05-20 00:00:00+00:00,21
2021-05-21 00:00:00+00:00,23
2021-06-07 00:00:00+00:00,24
2021-06-18 00:00:00+00:00,25
2021-07-04 00:00:00+00:00,26
2021-07-05 00:00:00+00:00,27
2021-07-08 00:00:00+00:00,28
2021-07-09 00:00:00+00:00,29
2021-07-15 00:00:00+00:00,30
2021-07-20 00:00:00+00:00,31
2021-07-25 00:00:00+00:00,32
2021-07-26 00:00:00+00:00,33
2021-08-02 00:00:00+00:00,34
2021-08-03 00:00:00+00:00,35
2021-08-13 00:00:00+00:00,36
2021-08-24 00:00:00+00:00,38
2021-08-27 00:00:00+00:00,39
2021-08-30 00:00:00+00:00,40
2021-09-05 00:00:00+00:00,41
2021-09-07 00:00:00+00:00,42
2021-09-16 00:00:00+00:00,44
2021-09-20 00:00:00+00:00,45
2021-09-30 00:00:00+00:00,46
2021-10-01 00:00:00+00:00,47
2021-10-04 00:00:00+00:00,48
2021-10-15 00:00:00+00:00,49
2021-10-18 00:00:00+00:00,50
2021-10-27 00:00:00+00:00,51
2021-10-30 00:00:00+00:00,52
2021-11-01 00:00:00+00:00,53
2021-11-04 00:00:00+00:00,54
2021-11-19 00:00:00+00:00,55
2021-11-23 00:00:00+00:00,56
2021-11-27 00:00:00+00:00,57
2021-11-29 00:00:00+00:00,58
2021-11-30 00:00:00+00:00,59
2021-12-03 00:00:00+00:00,60
2021-12-04 00:00:00+00:00,61
2021-12-09 00:00:00+00:00,62
2021-12-26 00:00:00+00:00,63
2021-12-28 00:00:00+00:00,64
2022-01-16 00:00:00+00:00,65
2022-01-17 00:00:00+00:00,66
2022-01-20 00:00:00+00:00,67
2022-01-21 00:00:00+00:00,69
2022-01-24 00:00:00+00:00,70
2022-01-26 00:00:00+00:00,71
2022-02-07 00:00:00+00:00,72
2022-02-09 00:00:00+00:00,73
2022-03-06 00:00:00+00:00,74
2022-03-07 00:00:00+00:00,75
2022-03-28 00:00:00+00:00,76
2022-03-29 00:00:00+00:00,78
