time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,974,724,948,651
2026-05-10 00:00:00+00:00,894,757,405,200
2026-05-11 00:00:00+00:00,1207,676,477,193
2026-05-12 00:00:00+00:00,1703,1010,424,212
2026-05-13 00:00:00+00:00,1017,500,427,222
2026-05-14 00:00:00+00:00,1686,1134,471,204
2026-05-15 00:00:00+00:00,928,527,494,214
2026-05-16 00:00:00+00:00,943,727,316,158
2026-05-17 00:00:00+00:00,649,489,329,138
2026-05-18 00:00:00+00:00,1613,1023,513,203
2026-05-19 00:00:00+00:00,749,506,461,178
2026-05-20 00:00:00+00:00,1393,947,453,174
2026-05-21 00:00:00+00:00,961,579,460,212
2026-05-22 00:00:00+00:00,2334,1601,455,169
